user	timestamp	files_on_server	files_on_local	files_downloaded
nvelez	2019-12-02 17:56:48.751242	17868	17868	0
nvelez	2020-01-09 14:35:02.675340	31006	17868	13138
nvelez	2020-06-16 08:58:26.213251	38756	31006	7750
nvelez	2020-06-16 09:03:51.633012	38756	33304	5452
nvelez	2020-06-16 09:11:36.575689	38756	34424	4332
nvelez	2020-09-07 00:56:58.820210	1624	0	1624
nvelez	2020-09-07 01:10:22.284391	1624	1182	442
nvelez	2020-09-07 01:14:38.985385	1624	1182	442
nvelez	2020-09-06 21:33:54.923191	1624	1189	435
nvelez	2020-09-07 13:06:28.023911	1627	1211	416
nvelez	2020-09-07 15:28:32.579680	1627	1625	2
nvelez	2020-09-07 15:28:39.610159	1627	1627	0
nvelez	2021-02-16 10:22:13.907257	1520	1012	508
nvelez	2021-02-16 21:00:09.555569	1520	1512	8
